Date,Name,Year,Letterboxd URI
2025-09-08,Kin-dza-dza!,1986,https://boxd.it/1CMS
2025-10-04,The Blade,1995,https://boxd.it/VSy
2025-10-04,Inside Llewyn Davis,2013,https://boxd.it/34Ro
2025-10-16,Tracks,2013,https://boxd.it/67y6
2025-10-16,Unbroken,2014,https://boxd.it/6IaA
2025-10-16,Angel Heart,1987,https://boxd.it/29WG
2025-10-17,Bottoms,2023,https://boxd.it/uGf2
2025-10-18,Che: Part One,2008,https://boxd.it/1ZGe
2025-10-23,Candyman,1992,https://boxd.it/1Ys6
2025-10-30,No Other Choice,2025,https://boxd.it/nKiA
2025-11-24,The Beasts,2022,https://boxd.it/w1L6
2025-11-30,The Nun,1966,https://boxd.it/WbK
2025-12-10,Madame Tutli-Putli,2007,https://boxd.it/1cxW
2025-12-17,I Am What I Am,2021,https://boxd.it/vFx2
2025-12-21,Pixote,1980,https://boxd.it/XCs
2026-01-07,Paperhouse,1988,https://boxd.it/Y50
2026-01-08,Lighting Up the Stars,2022,https://boxd.it/zFts
2026-01-09,Black Dog,2024,https://boxd.it/Lzqm
